App,as_app_id,as_title,as_store,as_genres,as_primary_genre,as_content_rating,as_size,as_required_os_version,as_released,as_updated,as_version,as_price,as_free,as_score,as_reviews,as_current_version_score,as_current_version_reviews
Weight Loss Running by Verv,636240052,Running Slimkit - Lose Weight,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,144550912,14.0,2013-07-26T17:32:36Z,2024-09-18T11:41:44Z,6.37.1,0.0,True,4.63779,86773,4.63779,86773
Couch to 10K Running Trainer,456591673,"10K Runner, Couch to 10K Run",apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,177013760,14.0,2011-08-19T17:48:22Z,2025-08-18T07:08:24Z,9.3830,0.0,True,4.9107,37669,4.9107,37669
PumpUp — Fitness Community,650276551,7 Minute Home Workout: Seven,apple,"Health & Fitness, Sports",Health & Fitness,4+,333524992,18.0,2013-08-07T07:00:00Z,2025-09-22T06:05:35Z,10.16.3,0.0,True,4.77114,133665,4.77114,133665
"Home workouts - fat burning, abs, legs, arms,chest",1313192037,Home Workout - No Equipments,apple,Health & Fitness,Health & Fitness,4+,518926336,13.0,2017-11-18T00:52:27Z,2025-09-01T05:48:08Z,1.39.10,0.0,True,4.86883,87822,4.86883,87822
Running Weight Loss Walking Jogging Hiking FITAPP,336599882,adidas Running: Run tracker,apple,"Health & Fitness, Sports",Health & Fitness,4+,285992960,17.0,2009-11-23T17:28:58Z,2025-09-22T07:14:58Z,13.54.0,0.0,True,4.79824,101222,4.79824,101222
"Strava Training: Track Running, Cycling & Swimming",426826309,"Strava: Run, Bike, Walk",apple,"Health & Fitness, Sports",Health & Fitness,4+,361749504,17.0,2011-03-24T06:41:32Z,2025-09-24T19:53:59Z,430.0.0,0.0,True,4.81102,332775,4.81102,332775
Workout Trainer: fitness coach,1446447749,Workout Planner Muscle Booster,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,548749312,16.4,2018-12-21T15:04:44Z,2025-09-18T12:07:30Z,3.55.0,0.0,True,4.5579,123215,4.5579,123215
"Fabulous: Motivate Me! Meditate, Relax, Sleep",337472899,Insight Timer–Meditate & Sleep,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,263790592,14.0,2009-11-05T18:55:12Z,2025-09-25T15:10:58Z,19.35.0,0.0,True,4.89577,427718,4.89577,427718
StrongLifts 5x5 Workout Gym Log & Personal Trainer,488580022,StrongLifts Weight Lifting Log,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,78758912,17.0,2011-12-22T20:51:34Z,2025-07-07T17:58:21Z,4.0.23,0.0,True,4.87528,75238,4.87528,75238
7 Minute Workout,650276551,7 Minute Home Workout: Seven,apple,"Health & Fitness, Sports",Health & Fitness,4+,333524992,18.0,2013-08-07T07:00:00Z,2025-09-22T06:05:35Z,10.16.3,0.0,True,4.77114,133665,4.77114,133665
Workout Tracker & Gym Trainer - Fitness Log Book,1458862350,Hevy - Workout Tracker Gym Log,apple,"Health & Fitness, Sports",Health & Fitness,4+,253319168,14.1,2019-07-01T04:30:20Z,2025-09-23T13:15:02Z,2.4.7,0.0,True,4.92272,43234,4.92272,43234
Freeletics: Personal Trainer & Fitness Workouts,654810212,Freeletics: Workouts & Fitness,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,180031488,16.0,2013-06-26T02:12:26Z,2025-09-23T07:51:32Z,25.37.1,0.0,True,4.63657,21988,4.63657,21988
Nike Training Club - Workouts & Fitness Plans,301521403,Nike Training Club,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,256994304,17.0,2009-01-15T08:15:23Z,2025-09-24T23:17:22Z,6.68.2,0.0,True,4.84722,268742,4.84722,268742
Fitbit Coach,462638897,Fitbit: Health & Fitness,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,301543424,16.4,2011-10-18T04:18:41Z,2025-09-15T12:50:39Z,4.52,0.0,True,4.50797,588029,4.50797,588029
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",449810000,JEFIT Workout Plan Gym Log,apple,"Health & Fitness, Lifestyle",Health & Fitness,9+,262490112,15.0,2011-07-25T23:33:09Z,2025-09-25T22:03:51Z,15.3.2,0.0,True,4.76814,45515,4.76814,45515
Map My Ride GPS Cycling Riding,893687399,Ride with GPS: Bike Navigation,apple,"Health & Fitness, Navigation",Health & Fitness,4+,180703232,16.4,2014-07-20T04:34:55Z,2025-09-25T01:34:03Z,4.0.8,0.0,True,4.71434,20385,4.71434,20385
Daily Workouts - Exercise Fitness Routine Trainer,1439828095,SHRED: Gym & Home Workouts,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,243877888,17.0,2018-11-27T08:16:52Z,2025-09-25T16:36:07Z,5.1.4,0.0,True,4.82129,38582,4.82129,38582
Google Fit - Fitness Tracking,336599882,adidas Running: Run tracker,apple,"Health & Fitness, Sports",Health & Fitness,4+,285992960,17.0,2009-11-23T17:28:58Z,2025-09-22T07:14:58Z,13.54.0,0.0,True,4.79824,101222,4.79824,101222
Sworkit: Workouts & Fitness Plans,527219710,Sworkit Fitness & Wellness App,apple,"Health & Fitness, Travel",Health & Fitness,4+,171475968,16.6,2012-05-22T00:24:14Z,2025-09-23T16:47:10Z,11.4.0,0.0,True,4.70735,29858,4.70735,29858
Map My Fitness Workout Trainer,298903147,Map My Fitness Workout Tracker,apple,Health & Fitness,Health & Fitness,4+,196063232,16.0,2008-12-09T08:00:00Z,2025-09-22T13:16:15Z,25.11.0,0.0,True,4.78829,74912,4.78829,74912
Sports Tracker Running Cycling,336599882,adidas Running: Run tracker,apple,"Health & Fitness, Sports",Health & Fitness,4+,285992960,17.0,2009-11-23T17:28:58Z,2025-09-22T07:14:58Z,13.54.0,0.0,True,4.79824,101222,4.79824,101222
Seven - 7 Minute Workout Training Challenge,650276551,7 Minute Home Workout: Seven,apple,"Health & Fitness, Sports",Health & Fitness,4+,333524992,18.0,2013-08-07T07:00:00Z,2025-09-22T06:05:35Z,10.16.3,0.0,True,4.77114,133665,4.77114,133665
Daily Yoga - Yoga Fitness Plans,545849922,Daily Yoga: Yoga for Fitness®,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,338085888,12.0,2012-10-26T18:13:56Z,2025-09-21T10:59:24Z,8.77.0,0.0,True,4.72104,3660,4.72104,3660
Pocket Yoga,347400507,Pocket Yoga,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,245683200,17.0,2010-03-20T17:38:24Z,2025-09-18T14:16:37Z,18.0.1,2.99,False,4.76928,5123,4.76928,5123
Relax Meditation: Sleep with Sleep Sounds,571800810,Calm,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,181463040,16.0,2013-02-22T20:09:23Z,2025-09-25T07:15:53Z,6.80,0.0,True,4.77501,1903030,4.77501,1903030
Free Meditation - Take a Break,337472899,Insight Timer–Meditate & Sleep,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,263790592,14.0,2009-11-05T18:55:12Z,2025-09-25T15:10:58Z,19.35.0,0.0,True,4.89577,427718,4.89577,427718
Meditate OM,337472899,Insight Timer–Meditate & Sleep,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,263790592,14.0,2009-11-05T18:55:12Z,2025-09-25T15:10:58Z,19.35.0,0.0,True,4.89577,427718,4.89577,427718
Yoga - Track Yoga,983693694,Yoga | Down Dog,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,78864384,12.0,2015-08-02T22:37:46Z,2024-12-18T20:18:11Z,7.5.2,0.0,True,4.92335,318248,4.92335,318248
My Chakra Meditation,6450438356,Chakra Meditation Reiki Guided,apple,"Lifestyle, Health & Fitness",Lifestyle,4+,133756928,13.0,2023-07-03T07:00:00Z,2025-09-10T11:46:40Z,2.2.82,0.0,True,4.8368,674,4.8368,674
Relax with Andrew Johnson Lite,303609195,Relax with AJ,apple,"Medical, Lifestyle",Medical,4+,80817152,12.4,2009-02-10T03:55:54Z,2023-10-23T17:20:46Z,9.4,2.99,False,4.86207,29,4.86207,29
"Meditation Music - Relax, Yoga",448207365,Meditation & Relaxation Music,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,139914240,10.0,2011-07-15T18:32:54Z,2019-01-03T21:28:14Z,6.0,0.0,True,4.76645,11325,4.76645,11325
Meditation Studio,1066018502,Meditation Studio,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,68004864,12.0,2015-12-16T18:42:25Z,2023-02-21T16:26:09Z,1.40.4,0.0,True,4.79129,9027,4.79129,9027
Down Dog: Great Yoga Anywhere,983693694,Yoga | Down Dog,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,78864384,12.0,2015-08-02T22:37:46Z,2024-12-18T20:18:11Z,7.5.2,0.0,True,4.92335,318248,4.92335,318248
21-Day Meditation Experience,992210239,Happier Meditation,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,94924800,17.0,2015-06-07T21:18:59Z,2025-09-11T19:41:00Z,2025.18,0.0,True,4.81941,140177,4.81941,140177
My Chakra Meditation 2,6450438356,Chakra Meditation Reiki Guided,apple,"Lifestyle, Health & Fitness",Lifestyle,4+,133756928,13.0,2023-07-03T07:00:00Z,2025-09-10T11:46:40Z,2.2.82,0.0,True,4.8368,674,4.8368,674
Simply Yoga - Fitness Trainer for Workouts & Poses,983693694,Yoga | Down Dog,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,78864384,12.0,2015-08-02T22:37:46Z,2024-12-18T20:18:11Z,7.5.2,0.0,True,4.92335,318248,4.92335,318248
"Calm - Meditate, Sleep, Relax",571800810,Calm,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,181463040,16.0,2013-02-22T20:09:23Z,2025-09-25T07:15:53Z,6.80,0.0,True,4.77501,1903030,4.77501,1903030
Relax Melodies P: Sleep Sounds,331529422,Relax Melodies P: Sleep Sounds,apple,Health & Fitness,Health & Fitness,4+,150757376,9.0,2009-09-23T20:34:51Z,2018-04-26T19:51:00Z,6.5.1,99.99,False,4.77658,6432,4.77658,6432
Relax Melodies: Sleep Sounds,314498713,BetterSleep: Relax and Sleep,apple,Health & Fitness,Health & Fitness,4+,385760256,15.0,2009-05-07T02:44:52Z,2025-09-15T10:10:06Z,25.17,0.0,True,4.74965,383550,4.74965,383550
Simple Habit Meditation,1093360165,"Simple Habit Sleep, Meditation",apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,210561024,12.0,2016-04-01T18:28:27Z,2024-12-16T17:52:30Z,6.1.1,0.0,True,4.80534,77843,4.80534,77843
